1,1,1
0,0,0
1,1,1
1,1,1
1,1,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
4,4,4
1,1,1
1,1,1
0,0,0
0,0,0
0,0,0
1,1,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
3,3,3
2,2,2
1,1,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,1,1
0,0,0
2,2,2
4,3,1
6,2,1
9,4,1
11,5,2
14,5,2
16,6,4
20,6,4
21,7,6
21,7,6
21,7,5
19,8,4
19,8,5
21,8,2
22,7,0
26,9,2
27,10,3
28,11,4
28,11,4
28,11,4
29,10,3
33,13,4
37,13,1
40,13,2
43,15,3
46,15,3
54,18,2
61,23,4
72,28,6
86,35,7
100,40,10
113,45,10
139,50,11
161,58,13
168,63,15
169,63,15
170,64,14
172,64,14
175,68,15
179,70,14
188,80,18
201,95,27
213,106,34
216,126,45
223,141,50
227,156,58
237,173,67
240,182,68
243,190,76
237,191,79
239,199,84
236,203,90
237,207,99
229,204,101
209,199,102
177,178,112
141,153,117
126,141,128
113,137,124
96,124,128
81,117,134
71,108,134
59,102,137
49,96,140
40,89,139
33,83,141
31,81,144
27,83,140
30,82,142
30,82,142
28,82,142
30,86,145
31,89,147
33,94,151
31,96,152
31,100,156
35,105,161
36,110,168
38,115,170
39,118,174
41,126,180
39,131,182
43,136,187
43,139,189
43,143,192
46,148,196
47,150,198
48,156,201
51,158,204
50,157,203
54,162,208
57,165,211
62,170,216
70,178,223
77,184,226
81,188,230
86,193,237
88,197,238
95,200,242
103,206,249
105,208,251
109,212,255
109,214,254
113,217,255
117,218,254
128,219,253
140,220,255
145,224,255
144,223,254
147,223,255
148,223,254
149,224,255
149,224,255
151,225,254
154,226,255
157,226,255
161,228,255
162,228,254
164,228,253
169,231,255
173,231,253
173,231,253
176,232,255
177,234,254
177,234,253
178,233,253
180,235,252
182,235,253
190,235,254
190,235,254
196,237,255
198,240,255
202,238,254
204,240,254
207,241,253
210,242,255
220,246,255
220,246,255
222,244,255
223,246,254
228,248,255
230,249,255
232,249,255
236,250,254
243,251,254
243,251,254
246,253,255
250,254,255
252,253,255
254,254,254
254,254,254
254,254,254
255,255,255
255,255,255
255,255,255
254,254,254
253,253,251
253,250,246
250,239,240
243,228,220
242,213,209
242,213,209
242,207,203
244,201,195
243,181,172
246,149,143
246,149,143
251,135,136
248,135,131
248,135,131
249,134,136
250,135,142
252,136,147
250,138,154
250,138,154
249,135,152
232,136,151
222,133,155
207,132,162
198,129,160
178,125,164
149,121,170
149,121,170
142,118,172
140,117,169
133,119,172
127,118,173
123,115,172
117,115,173
112,111,168
112,111,168
109,108,165
107,106,164
101,101,151
99,99,152
96,97,145
92,93,139
87,89,128
83,85,123
79,82,117
77,77,112
74,75,106
72,73,104
71,71,100
69,70,98
70,69,100
70,70,98
70,70,98
69,69,97
67,67,95
65,65,93
63,63,91
61,61,87
58,59,81
56,57,78
54,55,76
47,48,68
47,48,68
45,46,66
44,44,60
40,39,55
38,37,51
35,35,45
30,30,40
26,25,37
19,17,28
19,18,26
16,15,21
13,12,21
9,8,14
8,7,12
6,5,10
3,3,4
1,1,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,1,1
1,1,1
3,3,3
5,5,5
4,4,4
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,1,1
1,1,1
0,0,0
1,1,1
2,2,2
1,1,1
0,0,0
0,0,0
0,0,0
0,0,0
2,2,2
2,2,2
1,1,1
3,3,3
4,4,4
2,2,2
1,1,1
1,1,1
2,2,2
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
